
=== Optimize EPUB ===
💾 Optimized acef77d988_fig-9-3-2-speculative-decoding-drafts-gamma-tokens-with-a-fast-model.jpg: 38.0% smaller
💾 Optimized accda329fc_chapter-opener.jpg: 39.9% smaller
💾 Optimized acfa14def6_fig-33-7-1-enterprise-auth-flow.jpg: 35.3% smaller
💾 Optimized aec9eb1c05_demo-vs-production.jpg: 34.8% smaller
💾 Optimized ad0cabd377_rag-open-book-exam.jpg: 36.3% smaller
💾 Optimized ae21df5612_cognitive-lockin-curves.jpg: 37.7% smaller
💾 Optimized afe8c9a368_fig-31-9-1-k8s-llm-stack.jpg: 35.0% smaller
💾 Optimized b0c225dc46_chapter-opener.jpg: 38.7% smaller
💾 Optimized af92d8ea20_training-loop-racetrack.jpg: 34.1% smaller
💾 Optimized b07d7f08a0_rag-open-book-student.jpg: 32.9% smaller
💾 Optimized b1687beb46_chapter-opener.jpg: 33.6% smaller
💾 Optimized b27b3ca489_agentic-rag-detective.jpg: 39.7% smaller
💾 Optimized b2db43be4c_greedy-vs-beam-search-hiker.jpg: 41.5% smaller
💾 Optimized b2f7406f7f_retry-backoff-trampoline.jpg: 36.4% smaller
💾 Optimized b5b1b27aef_token.jpg: 37.4% smaller
💾 Optimized b395c1e943_ch34-opener-frontier-telescope.jpg: 41.6% smaller
💾 Optimized b34c895805_ch26-opener-castle-defense.jpg: 37.5% smaller
💾 Optimized b65115f135_fig-0-2-4-backprop.jpg: 31.2% smaller
💾 Optimized b513b3044c_red-team-boxing-ring.jpg: 33.4% smaller
💾 Optimized b84100558d_rnn-telegraph-operator.jpg: 38.9% smaller
💾 Optimized b64edd89f4_colpali-xray-vision.jpg: 33.1% smaller
💾 Optimized b8a90e2e48_fig-2-1-5-token-artifacts.jpg: 35.8% smaller
💾 Optimized b7fa29f9cd_model-collapse-spiral.jpg: 39.2% smaller
💾 Optimized b87d2fcccf_ch24-sycophantic-convergence.jpg: 36.6% smaller
💾 Optimized b862504b08_llm-assembly-line.jpg: 33.1% smaller
💾 Optimized b8e6d73869_fig-31-6-1-durable-execution-recovery.jpg: 33.9% smaller
💾 Optimized b96661e69b_lora-weights-raschka.png: 76.8% smaller
💾 Optimized b9d9193c67_sequence-packing-tetris.jpg: 41.7% smaller
💾 Optimized b98fc7a2f5_temperature-dj-dial.jpg: 38.3% smaller
💾 Optimized ba16442e59_chapter-opener.jpg: 37.5% smaller
💾 Optimized bb41b1f4c7_green-ai-carbon-footprint.jpg: 38.6% smaller
💾 Optimized bc7d12de9e_fig-31-6-3-saga-compensation.jpg: 32.7% smaller
💾 Optimized bb4c5a4fd3_enterprise-integration-plumbing.jpg: 37.0% smaller
💾 Optimized bac0bd9318_fig-12-8-1-log-to-dataset-pipeline.jpg: 36.7% smaller
💾 Optimized be2e7088cd_fig-7-2-1-deepseek-v3.jpg: 36.0% smaller
💾 Optimized bf18ee5e5e_chapter-opener.jpg: 41.2% smaller
💾 Optimized befe058f93_document-ai-reader.jpg: 38.5% smaller
💾 Optimized bf221dde17_section-l-5-svg1.jpg: 37.9% smaller
💾 Optimized be28b91eb9_chunking-baguette.jpg: 38.1% smaller
💾 Optimized c0497132d7_chapter-opener.jpg: 43.1% smaller
💾 Optimized bef68d5f72_chapter-opener.jpg: 40.6% smaller
💾 Optimized c2207b61f2_fig-22-4-1-tiered-reasoning.jpg: 36.5% smaller
💾 Optimized c2e855f3f8_copilots-every-stage.jpg: 40.9% smaller
💾 Optimized c11ad66956_drift-monitoring-dashboard.jpg: 37.4% smaller
💾 Optimized c3c71fbe80_nlp-timeline.jpg: 41.7% smaller
💾 Optimized c1cb1950c4_figure-12-4-2.png: 74.6% smaller
💾 Optimized c5d2158e21_rag.jpg: 35.7% smaller
💾 Optimized c4328c684b_post-launch-monitoring.jpg: 35.8% smaller
💾 Optimized c65007b57f_build-vs-buy-fork.jpg: 35.2% smaller
💾 Optimized c45922b8ea_pytorch-workbench.jpg: 38.8% smaller
💾 Optimized c44ecba4ce_matryoshka-embeddings-nesting.jpg: 34.4% smaller
💾 Optimized c789d51b34_structured-output-mold.jpg: 32.9% smaller
💾 Optimized c94872a58a_ch34-alternative-architectures-zoo.jpg: 36.2% smaller
💾 Optimized c8c85c7b51_meta-prompt-inception.jpg: 32.6% smaller
⏩ Skipping small image: cadf15e32b_eval.jpg
💾 Optimized c7eea80064_bpe-puzzle-factory.jpg: 33.5% smaller
💾 Optimized c9f1329904_ai-coding-trust-verify.jpg: 37.3% smaller
💾 Optimized cb566ef36f_fig-9-4-2-the-layers-of-an-llm-serving-stack-from-http-clients-down-t.jpg: 35.8% smaller
💾 Optimized ca74708dbf_fig-20-8-1-rag-ingestion-pipeline.jpg: 36.9% smaller
💾 Optimized cbdb382d31_mixed-precision-suitcase.jpg: 36.9% smaller
💾 Optimized caad5c9b40_autoscaling-accordion.jpg: 34.6% smaller
💾 Optimized ccf0de8744_fig-7-1-3-reasoning-token-flow-in-inference-time-compute-models-think.jpg: 36.1% smaller
💾 Optimized cbed784171_roi-measurement-balance.jpg: 38.9% smaller
💾 Optimized cd5f2c985e_word-embedding-space.jpg: 40.3% smaller
💾 Optimized d0012be68e_fig-0-1-4-as-model-complexity-increases-bias-decreases-but-variance-i.jpg: 35.7% smaller
💾 Optimized cc866476c3_ddpm-forward-reverse-process.png: 74.3% smaller
💾 Optimized cf2fcd0622_pipeline-vs-native-multimodal.jpg: 35.5% smaller
💾 Optimized d23c164b1a_fig-6-7-2-bayesian.jpg: 35.6% smaller
💾 Optimized d0a171888f_persona-dressing-room.jpg: 40.2% smaller
💾 Optimized d22ff01377_reasoning-model-thinker.jpg: 35.5% smaller
💾 Optimized d2680cbe00_fig-7-4-2-multilingual-models-map-different-languages-into-a-shared-re.jpg: 35.0% smaller
💾 Optimized d5a5084e0e_catastrophic-forgetting.jpg: 37.4% smaller
💾 Optimized d4adf29b97_test-time-compute-chess.jpg: 39.4% smaller
💾 Optimized d6242f711d_fig-3-1-3-vanishing-grad.jpg: 37.9% smaller
💾 Optimized d4468698f4_restaurant-kitchen-architecture.jpg: 33.1% smaller
💾 Optimized d6b1bb5fde_mesa-optimization-russian-doll.jpg: 40.6% smaller
💾 Optimized d973ef6a80_pip.jpg: 35.6% smaller
💾 Optimized d759b443f2_ch35-scalable-oversight-ladder.jpg: 36.2% smaller
💾 Optimized d7533aab03_bias-fairness-scales.jpg: 38.8% smaller
💾 Optimized d97785ba8c_fig-5-4-3-ar-vs-diffusion.jpg: 33.4% smaller
💾 Optimized d9f20aba95_progressive-training-pipeline.jpg: 36.0% smaller
💾 Optimized d83f1fc8ed_prompt-injection-trojan.jpg: 34.0% smaller
💾 Optimized d9b88b0613_fig-7-1-2-frontier-ecosystem.jpg: 33.2% smaller
💾 Optimized d97923aa46_language-is-hard-robot.jpg: 34.2% smaller
💾 Optimized d9e32f828b_fig-4-4-2-gpu-memory.jpg: 35.0% smaller
💾 Optimized dae9c9b4ad_opentelemetry-sensors.jpg: 38.4% smaller
💾 Optimized dc53ec90d7_ch34-system1-system2-thinking.jpg: 37.5% smaller
💾 Optimized da548b0f70_analogy-negative-sampling.jpg: 37.3% smaller
💾 Optimized dd67ce3d25_trust-verify-newsroom.jpg: 35.0% smaller
💾 Optimized de42293256_fig-8-1-3-the-four-major-reasoning-architecture-approaches-compared-e.jpg: 36.7% smaller
💾 Optimized dea74e4879_chapter-opener.jpg: 41.5% smaller
💾 Optimized e0322d1983_ch25-browser-agent-navigation.jpg: 37.9% smaller
💾 Optimized e083467d3f_fig-1-2-1-nlp-pipeline.jpg: 36.6% smaller
💾 Optimized df64207c7e_icl-open-book-exam.jpg: 32.5% smaller
💾 Optimized df6aaffb32_reasoning-models-thinking.jpg: 41.6% smaller
💾 Optimized e0fb3672bc_temperature-softmax.jpg: 36.9% smaller
💾 Optimized e09f3492ac_gpt-scaling-rocket.jpg: 35.9% smaller
💾 Optimized e1bb796c84_fig-10-2-4-function-calling-loop.jpg: 39.0% smaller
💾 Optimized e120649a0c_fig-1-1-4-nlp-tasks.jpg: 35.7% smaller
💾 Optimized e11bfa8006_dialogue-system-receptionist.jpg: 37.9% smaller
💾 Optimized e1cf2ee327_evol-instruct-evolution.jpg: 54.1% smaller
💾 Optimized e2a5815b74_fig-6-5-3-in-grokking-the-model-achieves-perfect-training-accuracy-ea.jpg: 36.2% smaller
💾 Optimized e28a997a69_transformer-layer-cake.jpg: 40.1% smaller
💾 Optimized e296bbbda6_reranking-judges-panel.jpg: 37.5% smaller
💾 Optimized e324535711_fig-7-3-4-mcts-for-language-reasoning-numbers-show-value-visits-the.jpg: 37.4% smaller
💾 Optimized e381e19a5e_fig-4-4-3-flash-attention.jpg: 35.1% smaller
💾 Optimized e5118b9427_weak-supervision-jury.jpg: 32.7% smaller
💾 Optimized e58f4a91ba_chapter-opener.jpg: 40.9% smaller
💾 Optimized e65febd1dc_quality-filtering-pipeline.jpg: 38.1% smaller
💾 Optimized e8733c933e_section-l-3-svg1.jpg: 35.4% smaller
💾 Optimized e627c7ed7f_metadata-filtering-bouncer.jpg: 32.1% smaller
💾 Optimized e7e5531c10_fig-9-2-3-static-batching-wastes-gpu-cycles-on-padding-continuous-bat.jpg: 33.4% smaller
💾 Optimized eac521fced_chinchilla.jpg: 35.9% smaller
💾 Optimized e8ba684f6d_ch23-agentic-rag-librarian.jpg: 34.6% smaller
💾 Optimized e8d7aed184_regulation-crossroads.jpg: 37.4% smaller
💾 Optimized ea8026abdf_fig-4-1-7-pre-post-ln.jpg: 35.3% smaller
💾 Optimized eca6edecf7_fig-9-1-3-gptq-compensates-for-rounding-errors-across-columns-using-th.jpg: 34.3% smaller
💾 Optimized ec285a11ae_evolution-staircase.jpg: 39.0% smaller
💾 Optimized ebaad4b41e_chapter-opener.jpg: 35.9% smaller
💾 Optimized ec2b8afb34_backprop-assembly-line.jpg: 34.1% smaller
💾 Optimized eefee5947a_chapter-opener.jpg: 40.6% smaller
💾 Optimized ed27f5a0a8_api-ecosystem-market.jpg: 33.0% smaller
💾 Optimized efdb5b406b_greedy.jpg: 37.6% smaller
💾 Optimized ee11e5e50f_api-hotel-receptionist.jpg: 37.8% smaller
💾 Optimized f0bf4f1f39_section-o-1-svg1.jpg: 34.6% smaller
💾 Optimized eefd1744b0_ppo-careful-chef.jpg: 35.5% smaller
💾 Optimized ef20bc0771_graphrag-detective-board.jpg: 34.1% smaller
💾 Optimized f0d859a632_fig-1-4-3-elmo.jpg: 36.9% smaller
💾 Optimized f10aaca3e6_prompt-recipe-kitchen.jpg: 33.0% smaller
💾 Optimized f0017512aa_missing-steering-wheel.jpg: 34.7% smaller
💾 Optimized f228a2cbd9_fig-1-2-4-tfidf.jpg: 36.1% smaller
💾 Optimized f10bb0fc3c_fig-7-3-3-orms-provide-only-a-binary-signal-on-the-final-answer-prms.jpg: 34.2% smaller
💾 Optimized f128a0a042_latency-cost-race.jpg: 37.7% smaller
💾 Optimized f29dfd6ac6_fig-5-1-3-beam-search.jpg: 33.1% smaller
💾 Optimized f1d470ac0d_labeling-sorting-hat.jpg: 32.7% smaller
💾 Optimized f29def37fe_fig-9-2-2-pagedattention-maps-logical-kv-cache-blocks-to-non-contiguou.jpg: 35.1% smaller
💾 Optimized f2b434ad5a_agent-control-room.jpg: 38.5% smaller
💾 Optimized f3ea428e63_fig-6-6-3-ddp.jpg: 35.6% smaller
💾 Optimized f342206103_agent-loop-detective.jpg: 33.8% smaller
💾 Optimized f33f626910_hyde-crystal-ball.jpg: 30.3% smaller
💾 Optimized f4060e211a_memory-management-containers.jpg: 37.1% smaller
💾 Optimized f47304fc0a_model-merging-cocktail.jpg: 37.6% smaller
💾 Optimized f55fe39603_tokenization-artifacts-telephone.jpg: 39.2% smaller
💾 Optimized f5a00bd7b9_fig-10-1-2-llm-api-ecosystem.jpg: 36.8% smaller
💾 Optimized f528c4ff5b_chain-of-thought-math-test.jpg: 33.3% smaller
💾 Optimized f6a8f7d7f6_chapter-opener.jpg: 43.3% smaller
💾 Optimized f64f6eff20_contrastive-learning-magnets.jpg: 35.1% smaller
💾 Optimized f798917751_ch24-opener-agent-orchestra.jpg: 38.0% smaller
💾 Optimized f75d788bd2_scaling-laws-kitchen.jpg: 35.2% smaller
💾 Optimized f7a82c4ca8_red-teaming-probe.jpg: 37.7% smaller
💾 Optimized f87a582632_logit-lens-building.jpg: 37.9% smaller
💾 Optimized f9080dedd6_probe.jpg: 37.3% smaller
💾 Optimized f8e97b982a_fig-8-5-1-compute-optimal-inference-frontier-on-easy-tasks-green-l.jpg: 34.5% smaller
💾 Optimized f91cd19ab8_memory-taxonomy-five-layers.jpg: 37.2% smaller
💾 Optimized f8e6f75e8b_fig-0-3-5-training-loop.jpg: 38.8% smaller
💾 Optimized f8dc2c4c55_figure-33-1-1.png: 85.6% smaller
💾 Optimized f9960edb74_ch26-sandbox-fishbowl.jpg: 40.9% smaller
💾 Optimized fa38ae5057_fig-7-4-3-illustrative-performance-gap-on-multilingual-qa-benchmarks.jpg: 32.7% smaller
💾 Optimized fb04ccdb87_constitutional-ai-angel.jpg: 37.9% smaller
💾 Optimized fc16497388_label.jpg: 36.3% smaller
💾 Optimized fcb7ad69ea_dropout.jpg: 36.2% smaller
💾 Optimized fbb5d69ab1_chapter-opener.jpg: 43.1% smaller
💾 Optimized fbf5520d38_ch35-agent-reliability-circuit-breaker.jpg: 35.6% smaller
💾 Optimized fb9c42d2da_continual-learning-renovation.jpg: 38.5% smaller
💾 Optimized fd92facd06_fig-2-1-3-multilingual-tokens.jpg: 37.6% smaller
💾 Optimized fe5e27ed50_distillation-chef.jpg: 43.6% smaller
⏩ Skipping small image: callout-code.svg
💾 Optimized fe8311d18c_quality-inspector.jpg: 37.6% smaller
💾 Optimized fd84585f0d_gpu-city-memory-hierarchy.jpg: 38.0% smaller
💾 Optimized callout-algorithm.png: 91.0% smaller
💾 Optimized callout-big-picture.png: 86.5% smaller
⏩ Skipping small image: callout-exercise.png
⏩ Skipping small image: callout-fun-note.png
⏩ Skipping small image: callout-key-insight.png
⏩ Skipping small image: callout-key-takeaway.svg
⏩ Skipping small image: callout-lab.svg
⏩ Skipping small image: callout-note.png
⏩ Skipping small image: callout-objectives.png
⏩ Skipping small image: callout-library-shortcut.svg
⏩ Skipping small image: callout-pathway.svg
⏩ Skipping small image: callout-practical-example.png
⏩ Skipping small image: callout-prereqs.png
⏩ Skipping small image: callout-research-frontier.png
⏩ Skipping small image: callout-self-check.svg
⏩ Skipping small image: callout-tip.png
⏩ Skipping small image: callout-warning.png
💾 Optimized fee64251fc_prompt-injection-defense.jpg: 36.3% smaller
💾 Optimized fee9f62e31_experiment-reproducibility-labs.jpg: 36.0% smaller
💾 Optimized analysis-exercise-icon.png: 90.2% smaller
💾 Optimized discussion-exercise-icon.png: 94.2% smaller
💾 Optimized conceptual-exercise-icon.png: 82.5% smaller
💾 Optimized coding-exercise-icon.png: 80.8% smaller
🖼️  Optimized image files
No images directory found, skipping SVG optimization
🖼️  Optimized SVG files
No XHTML files found for lazy loading
🖼️  Added lazy loading to images
Subsetting fonts to reduce file size...
No XHTML files found, skipping font subsetting
🔤 Subset fonts

=== General Fixes ===
Processing temp_epub\EPUB\cover.xhtml
Fixed cover.xhtml
Processing temp_epub\EPUB\nav.xhtml
Fixed nav.xhtml
All XHTML files fixed.
Processing temp_epub\EPUB\cover.xhtml
Processing temp_epub\EPUB\nav.xhtml
All files processed.
Processing temp_epub\EPUB\cover.xhtml
Processing temp_epub\EPUB\nav.xhtml
Removed 0 empty style attributes from 2 files.
All general fixes applied.

=== EPUB Structure Updates ===
Updating cover in OPF file: temp_epub\EPUB\content.opf
Successfully set cover to linear: <itemref idref="cover" linear="yes"/>
Discovering TOC files from OPF manifest...
Adding cover to EPUB3 navigation file: temp_epub\EPUB\nav.xhtml
Successfully added cover to EPUB3 navigation file
Adding cover to EPUB2 NCX file: temp_epub\EPUB\toc.ncx
Cover is already in EPUB2 NCX file
TOC updates completed successfully
Summary file not found at temp_epub\EPUB\chapter-2.xhtml, skipping summary update
Discovering TOC files and content directory...
Manual sommaire file not found at: temp_epub\EPUB\chapter-2.xhtml
Skipping chapter section updates.
All structure updates completed.

=== Create EPUB ===
Creating new EPUB...
Created optimized EPUB: E:\Projects\BookBlogsHome\LLMBook\KDP\output\building-conversational-ai-llms-agents.optimized.epub

=== Validate EPUB ===
Validating EPUB: E:\Projects\BookBlogsHome\LLMBook\KDP\output\building-conversational-ai-llms-agents.optimized.epub
EPUB validation failed (exit unknown).
