
=== Optimize EPUB ===
💾 Optimized db0ac6c7c8_fig-18-4-1-raw-attention-shows-only-direct-attention-at-one-layer-atte.png: 74.4% smaller
💾 Optimized db7683bed5_fig-2-2-4-unigram.png: 75.2% smaller
💾 Optimized dc53ec90d7_ch34-system1-system2-thinking.jpg: 8.8% smaller
💾 Optimized dea74e4879_chapter-opener.jpg: 1.1% smaller
💾 Optimized ddaa1b4686_fig-38-4-6-continuous-steering-loop.jpg: 4.7% smaller
💾 Optimized dc0b3c6950_fig-5-1-3-beam-search.png: 73.4% smaller
💾 Optimized e0322d1983_ch25-browser-agent-navigation.jpg: 6.9% smaller
💾 Optimized df6aaffb32_reasoning-models-thinking.jpg: 7.0% smaller
💾 Optimized d4adf29b97_test-time-compute-chess.jpg: 1.4% smaller
💾 Optimized e0979bbe74_fig-6-4-3-data-pipeline.png: 74.0% smaller
💾 Optimized e1cf2ee327_evol-instruct-evolution.jpg: 4.7% smaller
💾 Optimized e11bfa8006_dialogue-system-receptionist.jpg: 5.6% smaller
💾 Optimized e28a997a69_transformer-layer-cake.jpg: 1.2% smaller
💾 Optimized e3fbdce6ec_fig-4-3-2-three-families.png: 75.2% smaller
💾 Optimized e5ac6aa23d_fig-0-1-4-as-model-complexity-increases-bias-decreases-but-variance-i.png: 75.0% smaller
💾 Optimized e65febd1dc_quality-filtering-pipeline.jpg: 4.6% smaller
💾 Optimized e487f25799_fig-2-1-5-token-artifacts.png: 73.6% smaller
💾 Optimized e82eef96df_rag-open-book-exam.jpg: 4.0% smaller
💾 Optimized e8d7aed184_regulation-crossroads.jpg: 0.3% smaller
💾 Optimized e8ba684f6d_ch23-agentic-rag-librarian.jpg: 1.1% smaller
💾 Optimized e8d4844149_fig-33-7-1-enterprise-auth-flow.png: 73.1% smaller
💾 Optimized ea8c42ff68_lost-in-middle-sandwich.jpg: 3.6% smaller
💾 Optimized e9a19a4f72_training-loop-racetrack.jpg: 1.1% smaller
💾 Optimized ebaad4b41e_chapter-opener.jpg: 2.6% smaller
💾 Optimized ebf23b8e80_fig-3-1-5-the-lstm-cell-the-cell-state-green-line-at-top-acts-as-a.png: 74.1% smaller
💾 Optimized ec285a11ae_evolution-staircase.jpg: 6.0% smaller
💾 Optimized ef584e6c7f_fig-27-7-2-gaussian-splatting-pipeline.jpg: 5.4% smaller
⏩ Skipping small image: efdb5b406b_greedy.jpg
💾 Optimized f5f8e8a569_fig-2-3-4-tokenizer-landscape.png: 74.6% smaller
💾 Optimized f2b434ad5a_agent-control-room.jpg: 7.2% smaller
💾 Optimized f0a2f59d90_fig-6-5-3-in-grokking-the-model-achieves-perfect-training-accuracy-ea.png: 73.3% smaller
💾 Optimized f775678375_fig-31-6-3-saga-compensation.png: 74.4% smaller
💾 Optimized f716cf54dd_fig-25-7-1-coding-agent-generations.png: 73.8% smaller
💾 Optimized f798917751_ch24-opener-agent-orchestra.jpg: 2.7% smaller
💾 Optimized f7a82c4ca8_red-teaming-probe.jpg: 2.6% smaller
💾 Optimized f87a582632_logit-lens-building.jpg: 2.6% smaller
💾 Optimized f8dc2c4c55_figure-33-1-1.png: 78.6% smaller
⏩ Skipping small image: eac521fced_chinchilla.jpg
💾 Optimized f8c22661a6_fig-6-2-2-clm-mlm.png: 74.7% smaller
⏩ Skipping small image: f9080dedd6_probe.jpg
💾 Optimized f8e97b982a_fig-8-5-1-compute-optimal-inference-frontier-on-easy-tasks-green-l.jpg: 6.3% smaller
💾 Optimized f9960edb74_ch26-sandbox-fishbowl.jpg: 8.5% smaller
💾 Optimized fa74dc579e_matryoshka-embeddings-nesting.jpg: 4.7% smaller
💾 Optimized fbb5d69ab1_chapter-opener.jpg: 5.6% smaller
💾 Optimized fcb7ad69ea_dropout.jpg: 2.2% smaller
💾 Optimized f6a8f7d7f6_chapter-opener.jpg: 4.0% smaller
💾 Optimized fee64251fc_prompt-injection-defense.jpg: 2.0% smaller
💾 Optimized fd84585f0d_gpu-city-memory-hierarchy.jpg: 4.1% smaller
💾 Optimized fef53b1857_fig-31-6-4-retry-taxonomy.png: 75.0% smaller
💾 Optimized f9a815aa93_fig-22-4-1-tiered-reasoning.png: 73.9% smaller
💾 Optimized fb04ccdb87_constitutional-ai-angel.jpg: 4.8% smaller
⏩ Skipping small image: callout-fun-note.png
⏩ Skipping small image: callout-exercise.png
⏩ Skipping small image: callout-key-takeaway.svg
💾 Optimized callout-algorithm.png: 78.6% smaller
⏩ Skipping small image: callout-lab.svg
⏩ Skipping small image: callout-library-shortcut.svg
💾 Optimized callout-big-picture.png: 79.5% smaller
⏩ Skipping small image: callout-key-insight.png
⏩ Skipping small image: callout-objectives.png
⏩ Skipping small image: callout-note.png
⏩ Skipping small image: callout-pathway.svg
⏩ Skipping small image: callout-prereqs.png
⏩ Skipping small image: callout-research-frontier.png
⏩ Skipping small image: callout-practical-example.png
💾 Optimized fefb03a28c_tensor-building-blocks.jpg: 2.4% smaller
⏩ Skipping small image: callout-self-check.svg
⏩ Skipping small image: callout-warning.png
⏩ Skipping small image: callout-tip.png
💾 Optimized d4f73b7810_tokenizer-sushi-chef.jpg: 0.1% smaller
💾 Optimized analysis-exercise-icon.png: 72.2% smaller
💾 Optimized discussion-exercise-icon.png: 82.1% smaller
💾 Optimized conceptual-exercise-icon.png: 72.5% smaller
💾 Optimized coding-exercise-icon.png: 78.9% smaller
🖼️  Optimized image files
No images directory found, skipping SVG optimization
🖼️  Optimized SVG files
No XHTML files found for lazy loading
🖼️  Added lazy loading to images
Subsetting fonts to reduce file size...
No XHTML files found, skipping font subsetting
🔤 Subset fonts

=== General Fixes ===
Processing temp_epub\EPUB\cover.xhtml
Fixed cover.xhtml
Processing temp_epub\EPUB\nav.xhtml
Fixed nav.xhtml
All XHTML files fixed.
Processing temp_epub\EPUB\cover.xhtml
Processing temp_epub\EPUB\nav.xhtml
All files processed.
Processing temp_epub\EPUB\cover.xhtml
Processing temp_epub\EPUB\nav.xhtml
Removed 0 empty style attributes from 2 files.
All general fixes applied.

=== EPUB Structure Updates ===
Updating cover in OPF file: temp_epub\EPUB\content.opf
Successfully set cover to linear: <itemref idref="cover" linear="yes"/>
Discovering TOC files from OPF manifest...
Adding cover to EPUB3 navigation file: temp_epub\EPUB\nav.xhtml
Cover is already in EPUB3 navigation file
Adding cover to EPUB2 NCX file: temp_epub\EPUB\toc.ncx
Cover is already in EPUB2 NCX file
TOC updates completed successfully
Summary file not found at temp_epub\EPUB\chapter-2.xhtml, skipping summary update
Discovering TOC files and content directory...
Manual sommaire file not found at: temp_epub\EPUB\chapter-2.xhtml
Skipping chapter section updates.
All structure updates completed.

=== Create EPUB ===
Creating new EPUB...
Created optimized EPUB: E:\Projects\BookBlogsHome\LLMBook\KDP\output\building-conversational-ai-llms-agents.optimized.epub

=== Validate EPUB ===
Validating EPUB: E:\Projects\BookBlogsHome\LLMBook\KDP\output\building-conversational-ai-llms-agents.optimized.epub
EPUB validation failed (exit unknown).
